"","inc","eco1","eco2","pe_h","pe_e","pe_u","pe_d","pe_o","pe_b","pe_p","pe_w","dem","close","like","gender","age","educ","religiosity"
"3",1,1,1,2,1,2,1,1,2,2,2,2,1,10,1,1975,4,6
"6",1,5,4,2,1,2,2,1,3,2,2,2,1,10,2,1940,2,6
"8",1,5,2,2,1,2,2,1,1,2,2,1,1,10,1,1989,4,5
"10",1,5,2,2,1,2,2,1,2,2,2,2,1,10,2,1961,4,6
"15",0,3,5,1,1,1,1,1,1,1,1,5,4,3,1,1990,3,5
"17",0,5,4,1,1,1,1,1,3,1,1,4,2,2,1,1950,2,1
"18",0,5,4,1,1,1,1,1,2,1,2,4,3,2,1,1951,2,6
"19",1,3,2,1,1,2,2,2,2,2,2,2,1,8,1,1969,2,6
"20",0,5,2,1,1,1,1,1,1,1,1,4,2,0,1,1969,4,5
"22",0,5,2,1,2,2,2,1,1,1,1,4,2,0,1,1955,2,1
"23",0,5,4,1,2,2,2,1,1,1,2,4,2,0,1,1947,2,1
"25",0,5,2,1,2,2,1,1,1,2,2,4,4,0,1,1955,4,1
"26",0,5,2,1,1,1,1,1,1,2,2,2,2,0,1,1943,2,1
"27",0,5,4,1,1,1,1,1,1,1,1,4,4,0,1,1939,2,1
"28",0,5,4,1,2,2,1,2,2,1,1,4,2,0,1,1940,2,1
"29",0,5,2,1,1,1,2,2,2,1,2,4,2,0,1,1941,4,1
"33",0,5,5,1,1,2,1,1,2,4,1,5,2,0,1,1979,7,1
"35",1,1,1,2,2,2,3,1,2,2,2,2,1,10,1,1996,4,5
"36",1,1,2,5,2,2,1,1,5,1,3,5,1,4,2,1992,7,6
"37",0,5,5,1,1,1,1,1,1,1,1,5,3,0,1,1965,2,5
"38",1,1,1,3,2,3,3,2,3,3,3,2,1,10,2,1992,7,6
"39",1,5,4,1,1,1,1,1,1,1,1,4,1,10,2,1973,2,3
"40",0,5,4,2,2,1,3,1,3,3,3,5,4,0,1,1937,2,6
"41",0,5,4,2,2,1,3,1,3,4,1,5,2,0,1,1983,4,5
"43",0,1,2,2,1,1,1,1,3,3,3,4,2,5,1,1976,7,5
"45",1,5,2,2,1,2,2,2,4,3,2,4,1,10,2,1975,2,6
"47",0,3,2,1,1,1,1,1,3,2,2,5,2,5,2,1994,4,3
"48",1,1,1,2,2,2,1,2,4,2,1,2,1,6,2,1986,7,2
"50",0,5,2,4,5,5,5,5,5,5,5,2,1,7,1,1993,4,5
"51",0,5,4,2,1,1,1,1,3,1,1,5,2,0,1,1949,4,5
"52",0,5,4,1,2,2,2,2,3,2,2,4,2,1,1,1993,4,3
"53",0,5,4,3,1,1,2,1,4,2,1,4,2,5,1,1989,7,1
"54",0,3,4,2,1,2,1,1,2,1,1,4,2,1,1,1995,4,4
"57",0,5,4,2,2,1,1,2,4,4,2,4,4,0,1,1991,4,2
"62",0,5,4,2,2,2,3,2,3,3,2,4,2,4,2,1976,2,3
"68",1,5,4,1,1,1,1,1,4,3,3,4,1,10,2,1988,2,1
"75",1,1,1,1,1,1,1,1,4,1,3,2,1,10,2,1980,2,6
"78",0,5,2,1,1,1,1,1,2,2,1,4,2,0,1,1976,3,1
"80",1,1,2,1,1,1,1,1,3,1,3,4,1,6,2,1964,2,6
"82",0,5,5,1,1,2,1,1,4,4,2,5,4,4,1,1976,2,5
"83",0,1,4,3,1,1,1,2,3,1,2,4,1,5,2,1993,7,6
"85",1,3,2,2,3,3,1,2,3,2,3,2,1,9,2,1972,4,6
"87",1,1,1,2,3,2,3,2,4,3,3,2,1,10,2,1982,4,6
"89",0,5,5,1,1,1,1,1,1,1,1,5,3,0,1,1990,4,5
"91",0,5,1,5,5,5,5,5,5,5,5,5,3,5,2,1965,2,6
"93",1,3,4,5,5,5,5,5,5,5,3,2,1,10,1,1954,2,6
"94",1,3,2,5,1,5,3,1,1,1,1,2,1,10,1,1981,7,5
"95",0,5,5,1,1,1,1,1,1,1,1,5,4,0,1,1981,2,6
"98",0,5,5,2,1,5,5,1,1,1,1,5,4,0,1,1982,8,6
"99",0,5,5,1,1,1,1,1,1,1,1,5,4,0,1,1987,2,6
"102",0,5,4,1,1,1,1,1,1,1,1,5,4,1,1,1990,7,1
"105",0,5,4,1,1,1,5,1,1,3,1,5,4,0,1,1987,4,5
"106",0,3,5,1,1,1,1,1,1,1,1,5,4,0,1,1983,4,5
"107",0,5,4,1,1,1,1,1,1,1,1,5,4,0,2,1983,2,6
"110",0,3,4,1,1,1,1,1,1,1,1,5,4,0,2,1986,3,6
"111",0,5,5,1,1,1,1,1,1,1,1,5,4,0,1,1992,3,5
"112",0,5,2,1,1,1,1,1,1,1,1,5,4,0,1,1993,4,6
"118",0,5,5,1,1,1,5,3,3,5,1,5,4,0,2,1989,4,6
"119",0,1,4,1,1,1,1,1,3,1,3,4,3,4,2,1993,7,1
"120",0,1,2,5,5,5,5,3,1,5,5,2,1,5,2,1949,2,6
"123",0,5,5,1,1,1,1,1,5,1,1,4,2,1,1,1980,4,5
"124",0,3,2,2,1,2,3,2,3,3,2,4,3,1,2,1950,2,3
"129",0,5,5,1,1,3,3,1,3,2,2,5,2,0,1,1972,4,3
"132",1,3,2,1,1,3,3,1,3,3,3,2,1,6,1,1973,8,5
"133",1,3,4,1,1,1,1,1,4,1,3,2,1,9,2,1973,2,6
"135",0,5,4,1,1,1,1,1,3,1,1,5,2,1,1,1971,4,5
"141",0,5,5,1,2,1,4,1,5,4,1,5,3,0,1,1992,4,4
"142",0,5,5,1,1,1,1,1,4,4,1,5,2,2,2,1961,4,1
"143",0,5,5,1,1,1,1,1,5,4,1,5,2,2,2,1927,3,1
"152",1,5,5,1,1,1,1,1,3,1,1,4,1,10,2,1967,2,6
"154",0,3,4,1,2,2,2,1,4,2,2,4,3,4,1,1990,4,2
"157",1,1,2,2,1,1,2,1,2,1,1,2,1,10,2,1980,2,6
"162",1,3,2,5,5,4,5,5,3,5,5,2,1,10,2,1984,2,6
"165",1,3,4,1,1,1,3,3,1,3,1,4,1,7,1,1975,4,5
"167",0,5,5,1,1,1,3,2,1,3,1,5,4,1,2,1990,4,6
"168",0,5,5,2,1,1,2,1,2,1,1,5,2,0,1,1981,2,2
"169",0,5,5,1,1,1,3,1,3,3,1,5,2,3,1,1974,2,1
"172",0,5,4,3,1,1,3,1,3,1,1,5,2,1,2,1991,4,1
"175",0,3,2,1,2,2,1,2,1,1,2,2,1,10,2,1997,3,6
"176",1,3,2,2,1,2,1,2,1,1,1,2,1,10,2,1987,3,6
"177",1,3,2,2,1,2,2,1,2,1,4,2,1,10,2,1988,3,6
"178",1,3,2,2,1,1,2,3,2,1,1,2,1,10,1,1994,4,6
"179",1,3,2,2,1,2,3,2,1,2,1,2,1,10,2,1985,2,6
"181",1,3,2,1,1,2,5,1,3,2,1,1,1,10,2,1997,4,1
"182",1,3,2,1,1,2,1,1,3,3,1,1,1,8,2,1995,2,1
"183",1,3,2,1,2,3,2,2,4,3,1,1,1,6,2,1980,4,5
"184",1,3,4,1,2,2,3,1,5,3,1,5,2,1,2,1981,2,5
"185",1,5,2,2,2,1,2,1,5,3,1,2,1,7,1,1997,4,5
"186",0,3,4,1,2,2,1,1,5,2,1,4,3,1,2,1982,2,1
"189",0,5,2,1,1,1,1,1,5,1,1,5,2,0,2,1951,3,2
"190",0,5,4,5,1,1,3,5,3,3,5,5,4,0,1,1980,4,5
"191",0,3,1,4,3,3,3,2,4,3,2,4,1,8,1,1995,7,5
"193",0,3,2,3,2,3,3,2,3,3,3,2,3,7,2,1996,7,3
"196",1,1,2,2,2,3,2,2,3,2,2,2,1,8,1,1966,2,6
"201",0,3,4,1,1,3,3,1,1,3,3,5,3,0,1,1963,2,1
"202",0,3,2,1,1,1,1,1,1,1,1,5,4,0,1,1986,4,5
"204",0,3,4,1,1,1,1,1,1,1,1,5,4,0,1,1993,4,5
"211",0,5,5,5,5,5,5,5,5,5,5,4,1,10,2,1994,3,3
"213",1,5,5,3,3,1,1,1,3,5,3,4,1,10,2,1981,2,4
"214",0,5,5,1,1,1,2,1,1,1,1,5,2,1,1,1995,4,5
"215",0,3,4,1,1,1,1,1,4,1,1,4,1,10,1,1996,3,5
"216",0,5,5,1,1,1,1,1,1,4,1,5,4,0,1,1965,7,1
"218",1,5,2,1,1,1,2,1,2,1,1,4,1,8,2,1994,7,3
"221",1,5,4,1,1,3,3,1,4,3,4,4,1,10,1,1949,2,6
