D1004,D2001_Y,D2002,D2003,D2024,D3001_1,D3001_2,D3001_3,D3001_4,D3001_5,D3001_6,D3001_7,D3001_8,D3002,D3003_1,D3003_2,D3003_3,D3006_LH_PL,D3012_A,D3017,D3018_3
TUR_2015,1992,1. MALE,04. ISCED LEVEL 3 - UPPER SECONDARY,7. REFUSED,1. MUCH MORE THAN NOW,1. MUCH MORE THAN NOW,1. MUCH MORE THAN NOW,1. MUCH MORE THAN NOW,1. MUCH MORE THAN NOW,5. MUCH LESS THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,4. SOMEWHAT UNLIKELY,1. GOTTEN BETTER,1. MUCH BETTER,9. MISSING,1,5,2. FAIRLY SATISFIED,1
TUR_2015,1994,1. MALE,04. ISCED LEVEL 3 - UPPER SECONDARY,5. TWO OR MORE TIMES A MONTH,1. MUCH MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,3. THE SAME AS NOW,4. SOMEWHAT LESS THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT LIKELY,1. GOTTEN BETTER,2. SOMEWHAT BETTER,9. MISSING,92. R CAST INVALID BALLOT,1,4. NOT VERY SATISFIED,99. MISSING
TUR_2015,1975,1. MALE,04. ISCED LEVEL 3 - UPPER SECONDARY,6. ONCE A WEEK/MORE THAN ONCE A WEEK,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,1. VERY LIKELY,1. GOTTEN BETTER,2. SOMEWHAT BETTER,9. MISSING,1,10. STRONGLY LIKE,2. FAIRLY SATISFIED,1
TUR_2015,1974,2. FEMALE,03. ISCED LEVEL 2 - LOWER SECONDARY,3. TWO TO ELEVEN TIMES A YEAR,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,3. THE SAME AS NOW,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT LIKELY,3. THE SAME AS NOW,9. MISSING,9. MISSING,1,9,9. MISSING,1
TUR_2015,1985,2. FEMALE,07. ISCED LEVEL 6 - BACHELOR OR EQUIVALENT,6. ONCE A WEEK/MORE THAN ONCE A WEEK,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,3. THE SAME AS NOW,2. SOMEWHAT MORE THAN NOW,3. THE SAME AS NOW,5. VERY UNLIKELY,5. GOTTEN WORSE,9. MISSING,5. MUCH WORSE,97. VOLUNTEERED: REFUSED,4,5. NOT AT ALL SATISFIED,99. MISSING
TUR_2015,1940,2. FEMALE,02. ISCED LEVEL 1 - PRIMARY,6. ONCE A WEEK/MORE THAN ONCE A WEEK,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,3. THE SAME AS NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,4. SOMEWHAT UNLIKELY,5. GOTTEN WORSE,9. MISSING,4. SOMEWHAT WORSE,1,10. STRONGLY LIKE,2. FAIRLY SATISFIED,1
TUR_2015,1950,2. FEMALE,02. ISCED LEVEL 1 - PRIMARY,6. ONCE A WEEK/MORE THAN ONCE A WEEK,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,4. SOMEWHAT UNLIKELY,5. GOTTEN WORSE,9. MISSING,4. SOMEWHAT WORSE,3,3,5. NOT AT ALL SATISFIED,99. MISSING
TUR_2015,1989,1. MALE,04. ISCED LEVEL 3 - UPPER SECONDARY,5. TWO OR MORE TIMES A MONTH,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT LIKELY,5. GOTTEN WORSE,9. MISSING,4. SOMEWHAT WORSE,1,10. STRONGLY LIKE,1. VERY SATISFIED,1
TUR_2015,1954,1. MALE,02. ISCED LEVEL 1 - PRIMARY,5. TWO OR MORE TIMES A MONTH,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT LIKELY,5. GOTTEN WORSE,9. MISSING,4. SOMEWHAT WORSE,97. VOLUNTEERED: REFUSED,1,4. NOT VERY SATISFIED,99. MISSING
TUR_2015,1961,2. FEMALE,04. ISCED LEVEL 3 - UPPER SECONDARY,6. ONCE A WEEK/MORE THAN ONCE A WEEK,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,1. MUCH MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT MORE THAN NOW,2. SOMEWHAT LIKELY,5. GOTTEN WORSE,9. MISSING,4. SOMEWHAT WORSE,1,10. STRONGLY LIKE,2. FAIRLY SATISFIED,1
